,tweet_id,favorite_count,retweet_count,retweeted
0,892420643555336193,39467,8853,False
1,892177421306343426,33819,6514,False
2,891815181378084864,25461,4328,False
3,891689557279858688,42908,8964,False
4,891327558926688256,41048,9774,False
5,891087950875897856,20562,3261,False
6,890971913173991426,12041,2158,False
7,890729181411237888,56848,16716,False
8,890609185150312448,28226,4429,False
9,890240255349198849,32467,7711,False
10,890006608113172480,31166,7624,False
11,889880896479866881,28268,5156,False
12,889665388333682689,38818,8538,False
13,889638837579907072,27672,4735,False
14,889531135344209921,15359,2321,False
15,889278841981685760,25652,5637,False
16,888917238123831296,29611,4709,False
17,888804989199671297,26080,4559,False
18,888554962724278272,20290,3732,False
19,888078434458587136,22201,3653,False
20,887705289381826560,30779,5609,False
21,887517139158093824,46959,12082,False
22,887473957103951883,69871,18781,False
23,887343217045368832,34222,10737,False
24,887101392804085760,31061,6167,False
25,886983233522544640,35859,8084,False
26,886736880519319552,12306,3443,False
27,886680336477933568,22798,4610,False
28,886366144734445568,21524,3316,False
29,886267009285017600,117,4,False
30,886258384151887873,28469,6523,False
31,886054160059072513,0,108,False
32,885984800019947520,33382,7097,False
33,885528943205470208,36689,6683,False
34,885518971528720385,20788,3899,False
35,885311592912609280,0,19297,False
36,885167619883638784,22367,4556,False
37,884925521741709313,68152,16439,False
38,884876753390489601,28514,6096,False
39,884562892145688576,24765,5100,False
40,884441805382717440,27478,5856,False
41,884247878851493888,74423,21298,False
42,884162670584377345,20771,3128,False
43,883838122936631299,22349,3586,False
44,883482846933004288,46860,10407,False
45,883360690899218434,22986,3825,False
46,883117836046086144,37914,6949,False
47,882992080364220416,24445,4122,False
48,882762694511734784,28903,5134,False
49,882627270321602560,28382,6342,False
50,882268110199369728,45880,12118,False
51,882045870035918850,29900,5203,False
52,881906580714921986,24773,3533,False
53,881666595344535552,51522,11099,False
54,881633300179243008,129,7,False
55,881536004380872706,50199,16570,False
56,881268444196462592,23501,5358,False
57,880935762899988482,17346,2886,False
58,880872448815771648,21734,3989,False
59,880465832366813184,29075,6546,False
60,880221127280381952,27640,4436,False
61,880095782870896641,28150,4533,False
62,879862464715927552,22667,3642,False
63,879674319642796034,315,10,False
64,879492040517615616,23822,3323,False
65,879415818425184262,107956,45849,False
66,879376492567855104,17099,3261,False
67,879130579576475649,0,7181,False
68,879050749262655488,23022,4941,False
69,879008229531029506,19317,2812,False
70,878776093423087618,19763,4319,False
71,878604707211726852,30931,7582,False
72,878404777348136964,0,1349,False
73,878316110768087041,0,6965,False
74,878281511006478336,7913,1349,False
75,878057613040115712,42876,7181,False
76,877736472329191424,71144,17300,False
77,877611172832227328,0,83,False
78,877556246731214848,23258,3994,False
79,877316821321428993,27907,5414,False
80,877201837425926144,27755,5880,False
81,876838120628539392,21125,3506,False
82,876537666061221889,23869,4800,False
83,876484053909872640,19163,2511,False
84,876120275196170240,28490,4903,False
85,875747767867523072,25773,4497,False
86,875144289856114688,22185,5081,False
87,875097192612077568,27997,6342,False
88,875021211251597312,26022,4922,False
89,874680097055178752,28439,4875,False
90,874434818259525634,0,15546,False
91,874296783580663808,26651,4308,False
92,874057562936811520,23134,4125,False
93,874012996292530176,35501,11007,False
94,873697596434513921,0,12518,False
95,873580283840344065,24837,4143,False
96,873337748698140672,0,1667,False
97,873213775632977920,7467,1667,False
98,872967104147763200,28031,5669,False
99,872820683541237760,15029,3884,False
100,872668790621863937,0,31,False
101,872620804844003328,21309,3911,False
102,872486979161796608,41606,9429,False
103,872261713294495745,35085,6649,False
104,872122724285648897,35324,8549,False
105,871879754684805121,39090,11918,False
106,871762521631449091,20787,3678,False
107,871515927908634625,20730,3628,False
108,871166179821445120,0,5991,False
109,871102520638267392,21461,5764,False
110,871032628920680449,23255,3999,False
111,870804317367881728,33791,6393,False
112,870726314365509632,121,3,False
113,870656317836468226,12819,2817,False
114,870374049280663552,85011,27680,False
115,870308999962521604,22453,4384,False
116,870063196459192321,37771,8840,False
117,869988702071779329,0,25661,False
118,869772420881756160,43710,10663,False
119,869702957897576449,29116,6728,False
120,869596645499047938,16476,3327,False
121,869227993411051520,21112,4023,False
122,868880397819494401,55098,12518,False
123,868639477480148993,0,2240,False
124,868622495443632128,28295,6275,False
125,868552278524837888,10539,2240,False
126,867900495410671616,24964,4439,False
127,867774946302451713,35179,7788,False
128,867421006826221569,16755,2697,False
129,867072653475098625,0,135,False
130,867051520902168576,33420,8425,False
131,866816280283807744,0,32883,False
132,866720684873056260,20888,5168,False
133,866686824827068416,20070,3727,False
134,866450705531457537,106827,32883,False
135,866334964761202691,54720,15546,False
136,866094527597207552,0,8952,False
137,865718153858494464,26640,6008,False
138,865359393868664832,27530,5384,False
139,865006731092295680,29063,8209,False
140,864873206498414592,33651,9361,False
141,864279568663928832,15195,3266,False
142,864197398364647424,31459,9616,False
143,863907417377173506,21477,4441,False
144,863553081350529029,15935,4489,False
145,863471782782697472,0,2687,False
146,863432100342583297,24829,5664,False
147,863427515083354112,2363,105,False
148,863079547188785154,9094,1195,False
149,863062471531167744,8945,2687,False
150,862831371563274240,20011,5457,False
151,862722525377298433,17779,3809,False
152,862457590147678208,21492,5388,False
153,862096992088072192,66437,21840,False
154,861769973181624320,0,37911,False
155,861383897657036800,37744,11528,False
156,861288531465048066,18032,4479,False
157,861005113778896900,17538,4119,False
158,860981674716409858,0,2334,False
159,860924035999428608,0,882,False
160,860563773140209665,7878,2334,False
161,860524505164394496,24678,5698,False
162,860276583193509888,19154,3745,False
163,860184849394610176,17474,6295,False
164,860177593139703809,0,33421,False
165,859924526012018688,20021,4349,False
166,859851578198683649,16105,3780,False
167,859607811541651456,19476,1704,False
168,859196978902773760,75193,25661,False
169,859074603037188101,35553,14740,False
170,858860390427611136,0,8805,False
171,858843525470990336,16304,3771,False
172,858471635011153920,22640,5271,False
173,858107933456039936,16524,3154,False
174,857989990357356544,16952,2812,False
175,857746408056729600,36021,11524,False
176,857393404942143489,6236,1785,False
177,857263160327368704,21041,4934,False
178,857214891891077121,242,20,False
179,857062103051644929,0,183,False
180,857029823797047296,19910,4364,False
181,856602993587888130,0,11633,False
182,856543823941562368,17135,3131,False
183,856526610513747968,12446,2068,False
184,856330835276025856,0,731,False
185,856288084350160898,545,17,False
186,856282028240666624,29086,6841,False
187,855862651834028034,320,27,False
188,855860136149123072,4407,1058,False
189,855857698524602368,12498,2313,False
190,855851453814013952,47844,19196,False
191,855818117272018944,28056,5943,False
192,855459453768019968,31657,8987,False
193,855245323840757760,0,6568,False
194,855138241867124737,0,50,False
195,854732716440526848,24188,6690,False
196,854482394044301312,31131,7608,False
197,854365224396361728,20046,5159,False
198,854120357044912130,33911,8285,False
199,854010172552949760,17169,3433,False
200,853760880890318849,30414,6403,False
201,853639147608842240,37198,11265,False
202,853299958564483072,16508,3928,False
203,852936405516943360,0,2243,False
204,852912242202992640,9658,2037,False
205,852672615818899456,15939,2388,False
206,852553447878664193,17492,3885,False
207,852311364735569921,35325,10961,False
208,852226086759018497,21378,7570,False
209,852189679701164033,12217,1741,False
210,851953902622658560,0,10706,False
211,851861385021730816,0,23,False
212,851591660324737024,17300,3819,False
213,851464819735769094,25944,7855,False
214,851224888060895234,22090,6350,False
215,850753642995093505,33348,10352,False
216,850380195714523136,13994,2915,False
217,850333567704068097,3647,367,False
218,850145622816686080,17519,4244,False
219,850019790995546112,21944,5459,False
220,849776966551130114,32390,8404,False
221,849668094696017920,0,5513,False
222,849412302885593088,17039,3487,False
223,849336543269576704,12240,2101,False
224,849051919805034497,32617,7396,False
225,848690551926992896,27104,4826,False
226,848324959059550208,20229,4037,False
227,848213670039564288,8834,832,False
228,848212111729840128,17618,3444,False
229,847978865427394560,0,3652,False
230,847971574464610304,0,482,False
231,847962785489326080,25296,5730,False
232,847842811428974592,5935,1522,False
233,847617282490613760,7558,468,False
234,847606175596138505,20208,3774,False
235,847251039262605312,22036,4800,False
236,847157206088847362,21588,6572,False
237,847116187444137987,23108,3583,False
238,846874817362120707,21685,4404,False
239,846514051647705089,48410,13076,False
240,846505985330044928,15304,3492,False
241,846153765933735936,34394,10226,False
242,846139713627017216,33188,10972,False
243,846042936437604353,17256,3224,False
244,845812042753855489,31737,9894,False
245,845677943972139009,27154,5365,False
246,845459076796616705,0,15071,False
247,845397057150107648,8241,2072,False
248,845306882940190720,25225,6039,False
249,845098359547420673,0,8640,False
250,844979544864018432,14738,2909,False
251,844973813909606400,16361,3617,False
252,844704788403113984,42022,11633,False
253,844580511645339650,17871,3533,False
254,844223788422217728,14753,2450,False
255,843981021012017153,16327,3285,False
256,843856843873095681,23211,5220,False
257,843604394117681152,18310,3081,False
258,843235543001513987,23315,6852,False
259,842892208864923648,0,56625,False
260,842846295480000512,16440,4023,False
261,842765311967449089,7321,1439,False
262,842535590457499648,19637,3937,False
263,842163532590374912,26569,6568,False
264,842115215311396866,15204,3386,False
265,841833993020538882,0,17504,False
266,841680585030541313,27854,8748,False
267,841439858740625411,13755,4168,False
268,841320156043304961,21402,6080,False
269,841314665196081154,17305,5312,False
270,841077006473256960,24926,5991,False
271,840761248237133825,0,1972,False
272,840728873075638272,0,18285,False
273,840698636975636481,197,3,False
274,840696689258311684,13377,1116,False
275,840632337062862849,9761,1972,False
276,840370681858686976,17918,5146,False
277,840268004936019968,20950,6497,False
278,839990271299457024,14640,2597,False
279,839549326359670784,29957,8805,False
280,839290600511926273,0,158,False
281,839239871831150596,29684,7422,False
282,838952994649550848,21289,4505,False
283,838921590096166913,12183,2357,False
284,838916489579200512,0,38,False
285,838831947270979586,0,12643,False
286,838561493054533637,11892,1504,False
287,838476387338051585,24664,5484,False
288,838201503651401729,0,11525,False
289,838150277551247360,1824,370,False
290,838085839343206401,150,0,False
291,838083903487373313,19183,3582,False
292,837820167694528512,37277,8952,False
293,837482249356513284,4204,495,False
294,837471256429613056,13967,2631,False
295,837366284874571778,23074,6005,False
296,837110210464448512,17480,2731,False
297,837012587749474308,0,88,False
298,836989968035819520,13879,2610,False
299,836753516572119041,21029,5237,False
300,836677758902222849,13782,2522,False
301,836648853927522308,0,626,False
302,836397794269200385,0,31314,False
303,836380477523124226,16037,3337,False
304,836260088725786625,23177,4850,False
305,836001077879255040,20924,4935,False
306,835685285446955009,0,9327,False
307,835574547218894849,19447,4121,False
308,835536468978302976,0,1939,False
309,835309094223372289,0,24013,False
310,835297930240217089,17847,3381,False
311,835264098648616962,8503,1939,False
312,835246439529840640,2259,83,False
313,835172783151792128,28552,6516,False
314,835152434251116546,24574,3443,False
315,834931633769889797,11838,1878,False
316,834786237630337024,22943,6159,False
317,834574053763584002,14993,2882,False
318,834477809192075265,0,12224,False
319,834458053273591808,10512,1899,False
320,834209720923721728,22594,5476,False
321,834167344700198914,17194,4130,False
322,834089966724603904,10971,2427,False
323,834086379323871233,14296,2512,False
324,833863086058651648,14661,2729,False
325,833826103416520705,16728,3904,False
326,833732339549220864,0,251,False
327,833722901757046785,22585,3636,False
328,833479644947025920,16258,2357,False
329,833124694597443584,22133,5513,False
330,832998151111966721,14549,2522,False
331,832769181346996225,0,43,False
332,832757312314028032,18423,4127,False
333,832682457690300417,13017,3368,False
334,832645525019123713,3195,594,False
335,832636094638288896,17379,3220,False
336,832397543355072512,13126,2548,False
337,832369877331693569,18792,3652,False
338,832273440279240704,12385,2673,False
339,832215909146226688,0,7069,False
340,832215726631055365,0,10723,False
341,832088576586297345,72,3,False
